country,region,gdp_per_capita,life_expectancy,education_index,internet_users,urban_population,co2_per_capita,birth_rate,unemployment_rate,happiness_score
Japan,Asia,42000,84.6,0.85,92,92,8.5,1.3,2.6,6.1
United States,North America,76000,77.5,0.90,91,83,14.7,1.7,3.7,6.9
Germany,Europe,56000,81.3,0.91,93,78,8.1,1.5,3.1,7.0
France,Europe,49000,82.5,0.89,86,81,4.6,1.8,7.3,6.7
Brazil,South America,15000,75.9,0.70,81,87,2.2,1.6,8.5,6.1
India,Asia,9000,70.4,0.58,48,36,1.9,2.0,7.8,4.1
China,Asia,21000,78.2,0.74,76,65,8.0,1.2,5.2,5.6
Norway,Europe,89000,83.2,0.94,98,84,7.7,1.5,3.4,7.4
Sweden,Europe,61000,83.1,0.92,97,88,3.4,1.6,7.5,7.3
Nigeria,Africa,6000,54.7,0.50,42,53,0.7,5.2,5.8,5.0
South Africa,Africa,13000,64.4,0.68,72,68,7.4,2.4,32.0,4.9
Australia,Oceania,65000,83.3,0.93,96,86,15.0,1.6,3.7,7.1
Canada,North America,57000,82.7,0.92,96,82,14.2,1.5,5.2,7.0
Mexico,North America,20000,75.0,0.72,75,81,3.6,1.9,3.3,6.3
Indonesia,Asia,14000,71.7,0.65,66,57,2.3,2.2,5.5,5.3
Saudi Arabia,Middle East,59000,76.9,0.80,100,84,17.0,2.3,5.1,6.4
Argentina,South America,22000,76.7,0.81,87,92,4.0,1.9,6.2,6.0
Egypt,Africa,15000,71.8,0.62,72,43,2.5,3.1,7.2,4.3
South Korea,Asia,50000,83.6,0.89,97,81,11.8,0.8,2.8,5.9
Russia,Europe,34000,72.4,0.82,88,75,10.8,1.5,3.9,5.7
