student_id,sleep_hours,exercise_minutes,screen_time_hours,study_hours,attendance_rate,caffeine_intake,social_media_hours,stress_score,anxiety_score,fatigue_score,bmi,resting_heart_rate,assignment_completion_rate,exam_score
S001,7.2,45,3.1,2.5,92,120,1.8,35,28,30,21.5,62,95,82
S002,5.4,10,7.2,1.2,68,340,5.5,74,80,77,27.2,81,60,55
S003,6.8,30,4.1,4.5,96,180,2.3,42,35,40,22.1,66,98,91
S004,8.1,60,2.0,3.1,88,90,1.2,22,20,24,20.4,58,93,86
S005,4.9,5,8.3,0.8,55,410,6.8,88,91,85,29.1,89,42,48
S006,6.5,25,5.2,4.0,94,200,3.1,51,47,50,23.0,68,96,89
S007,7.8,55,2.4,2.8,91,130,1.7,31,26,28,21.2,61,90,80
S008,5.7,15,6.9,1.7,72,320,5.1,69,73,71,26.4,79,65,58
S009,6.9,35,4.5,3.9,95,170,2.8,44,39,42,22.5,65,97,90
S010,7.5,50,2.9,3.2,90,110,1.9,29,25,27,21.8,60,92,84
S011,5.2,8,7.8,1.1,63,390,6.0,81,86,80,28.0,85,50,52
S012,6.4,20,5.6,3.7,87,210,3.5,53,49,51,23.6,70,88,78
S013,7.9,58,2.1,2.9,93,100,1.5,24,21,23,20.7,57,94,87
S014,4.7,4,8.5,0.5,51,430,7.1,91,94,89,30.2,91,39,45
S015,6.6,28,4.8,4.1,96,190,2.7,46,41,44,22.9,67,98,92
S016,7.3,48,3.3,3.0,89,140,2.0,33,29,31,21.7,63,91,83
S017,5.5,12,7.0,1.5,70,350,5.4,73,78,75,27.0,82,61,57
S018,6.7,32,4.3,3.8,94,175,2.6,43,37,41,22.4,66,96,88
S019,7.6,52,2.7,3.3,91,115,1.8,28,24,26,21.4,59,93,85
S020,4.8,6,8.1,0.9,58,420,6.6,87,90,84,29.5,88,45,47
S021,6.3,18,5.9,3.5,86,220,3.8,56,52,54,24.0,71,87,76
S022,7.7,56,2.5,2.7,92,125,1.6,30,27,29,21.1,60,94,86
S023,5.1,9,7.5,1.3,66,370,5.8,79,83,78,27.8,84,55,53
S024,6.8,34,4.4,4.2,95,185,2.5,45,40,43,22.6,65,97,90
S025,7.4,49,3.0,3.1,90,135,1.9,32,28,30,21.6,62,92,84
S026,5.6,14,6.8,1.6,71,330,5.2,71,75,72,26.7,80,63,56
S027,6.5,26,5.0,3.9,93,205,3.0,50,46,48,23.2,69,95,88
S028,8.0,61,1.9,2.6,94,95,1.3,23,19,22,20.5,56,96,89
S029,4.6,3,8.7,0.4,49,440,7.3,93,96,91,30.5,92,35,42
S030,6.9,36,4.2,4.3,97,180,2.4,41,36,39,22.3,64,99,93
S031,7.1,44,3.2,2.4,88,145,2.1,36,31,33,21.9,63,89,81
S032,5.3,11,7.1,1.4,69,345,5.3,75,79,76,27.1,81,59,54
S033,6.6,29,4.9,3.6,89,215,3.3,52,48,50,23.5,68,90,79
S034,7.8,57,2.3,3.0,93,105,1.4,25,22,24,20.9,58,95,87
S035,4.9,7,8.0,0.7,57,415,6.5,86,89,83,29.3,87,43,46
S036,6.7,31,4.6,4.0,94,195,2.8,47,42,45,22.8,67,96,89
S037,7.5,53,2.8,3.4,91,120,1.7,29,26,28,21.3,60,93,85
S038,5.4,13,6.7,1.8,73,325,5.0,70,74,70,26.5,79,64,57
S039,6.4,22,5.4,3.7,87,225,3.6,55,51,53,23.9,70,88,77
S040,7.9,59,2.2,2.8,94,100,1.5,24,20,23,20.6,57,95,88
S041,4.7,5,8.4,0.6,53,435,7.0,90,93,88,30.0,90,40,44
S042,6.8,33,4.3,4.1,95,185,2.7,44,38,42,22.5,65,97,91
S043,7.2,46,3.1,2.9,89,130,1.9,34,30,32,21.8,62,91,82
S044,5.5,16,6.6,1.9,74,315,4.9,68,72,69,26.2,78,66,59
S045,6.5,27,5.1,3.8,92,210,3.1,49,45,47,23.3,69,94,87
