customer_id,age,annual_income,purchase_frequency,average_order_value,online_purchase_ratio,discount_usage_rate,days_since_last_purchase
C001,29,50000,6.0,106.92,99.3,40.6,15
C002,38,51100,8.1,77.2,92.1,10.0,18
C003,31,100500,11.9,122.54,69.7,17.6,10
C004,26,68800,8.3,99.03,89.6,24.5,17
C005,51,83700,9.6,168.09,49.4,30.6,1
C006,31,45500,5.4,68.01,44.4,80.7,17
C007,23,25100,6.2,67.85,85.6,69.4,27
C008,54,100400,7.9,157.71,52.5,10.3,15
C009,28,53500,8.9,112.84,72.0,34.1,12
C010,35,56600,2.3,94.48,23.1,60.1,90
C011,54,94000,11.8,185.03,86.0,16.7,11
C012,34,65000,5.6,72.05,53.5,81.4,32
C013,53,97300,8.2,205.74,38.7,12.2,7
C014,32,46100,6.6,90.58,83.3,25.1,21
C015,42,71900,6.2,58.04,52.4,63.0,1
C016,75,62300,1.6,97.59,27.2,39.6,72
C017,48,45900,2.4,24.1,58.9,41.7,25
C018,49,126500,7.1,198.33,43.7,16.7,15
C019,49,46200,4.6,23.96,58.9,81.2,11
C020,49,73700,2.7,76.25,37.5,8.8,45
C021,36,55700,5.2,71.33,46.1,65.9,32
C022,30,64000,7.2,88.7,73.6,61.9,9
C023,22,51600,8.6,73.27,92.5,38.6,12
C024,30,47400,7.2,59.6,55.9,57.3,13
C025,30,67700,9.7,120.9,88.5,44.3,15
C026,48,86500,8.7,161.36,66.9,35.0,8
C027,40,94900,11.9,158.0,43.8,10.8,7
C028,58,52400,1.6,70.7,32.2,64.2,79
C029,34,49200,2.6,97.2,35.4,68.4,32
C030,41,67400,0.9,93.35,45.7,37.3,99
C031,44,83500,8.1,174.27,46.6,7.8,1
C032,33,62300,2.3,76.97,26.6,81.1,10
C033,57,72900,9.8,154.74,28.2,14.4,10
C034,50,34400,0.3,81.12,17.3,41.8,80
C035,18,55000,8.5,64.02,89.6,39.3,20
C036,70,66400,1.8,94.86,59.7,25.8,106
C037,34,49100,6.7,128.32,98.6,32.2,1
C038,35,51100,3.4,95.59,93.7,19.0,21
C039,64,54600,1.5,62.3,33.0,35.3,142
C040,40,103800,10.1,144.85,45.0,8.5,15
C041,27,43000,11.8,93.98,80.9,21.3,14
C042,44,86600,11.5,158.97,52.2,19.4,10
C043,43,43000,6.6,100.34,60.9,82.3,33
C044,50,78700,11.5,213.03,72.9,17.1,8
C045,58,57000,1.0,49.63,42.2,21.5,100
C046,26,50400,4.6,73.04,62.3,75.2,16
C047,37,108000,12.1,121.29,63.0,32.1,14
C048,68,37300,2.1,64.43,32.2,40.1,84
C049,27,50400,4.1,82.34,61.7,76.7,9
C050,26,45400,8.5,128.12,92.3,44.1,4
C051,28,37700,7.8,73.06,98.3,28.5,1
C052,34,37600,8.7,75.16,79.5,51.8,13
C053,50,104500,9.6,150.03,62.4,25.5,16
C054,46,56400,4.3,65.61,52.7,91.0,34
C055,27,68500,10.8,90.24,88.2,32.5,17
C056,41,49600,1.8,23.53,53.6,47.8,85
C057,44,84100,9.6,137.62,41.4,25.9,1
C058,24,43000,8.8,103.71,90.9,44.1,9
C059,38,33800,5.0,86.37,54.3,76.4,9
C060,54,34500,6.2,57.2,30.8,90.2,28
C061,51,46800,3.1,75.85,35.2,64.1,13
C062,50,110000,10.5,172.6,56.0,19.3,1
C063,47,95200,9.9,124.3,98.8,17.7,11
C064,49,39200,1.1,114.98,50.2,45.5,95
C065,37,72700,2.8,82.93,52.0,27.6,76
C066,47,78800,12.2,186.74,49.0,14.0,3
C067,56,95100,11.5,194.35,54.9,11.4,16
C068,36,52300,0.8,38.37,65.2,67.5,26
C069,55,81100,11.7,167.11,77.0,14.1,14
C070,39,96400,10.8,158.03,69.7,21.1,8
C071,28,81800,10.1,103.27,96.1,36.4,17
C072,54,89800,2.4,102.21,38.4,18.6,125
C073,48,101600,9.8,131.43,78.5,19.0,5
C074,29,67300,5.0,66.76,30.4,71.5,31
C075,50,71300,2.4,93.44,53.7,21.5,134
C076,49,60900,1.1,45.43,60.6,41.2,76
C077,25,59200,7.6,118.5,95.5,14.8,10
C078,22,50900,7.5,98.67,90.6,35.3,1
C079,37,49200,7.7,56.48,47.7,68.0,16
C080,42,64300,8.5,97.22,83.9,31.5,16
C081,42,40100,6.9,58.79,55.0,81.2,23
C082,31,50700,7.8,65.14,34.1,78.4,11
C083,43,70400,0.4,121.46,14.5,38.6,80
C084,43,31300,3.1,97.1,33.0,93.5,36
C085,33,62000,0.3,55.74,64.8,57.1,76
C086,30,62400,4.9,95.53,90.1,49.9,13
C087,24,58200,4.8,68.88,82.0,37.3,11
C088,25,46000,7.5,114.35,76.9,53.3,1
C089,59,67900,1.6,84.01,42.2,18.5,131
C090,28,56100,7.3,89.15,89.9,40.3,21
C091,34,46700,7.0,60.91,43.5,97.0,10
C092,29,42700,7.8,118.32,83.1,46.0,5
C093,69,80200,0.9,50.17,36.1,47.2,63
C094,26,50600,8.6,86.39,87.0,17.0,21
C095,26,72300,6.4,70.32,45.8,70.9,15
C096,51,64600,0.9,77.12,5.0,38.8,89
C097,36,71800,6.0,116.13,90.2,24.1,13
C098,50,104400,11.4,160.4,60.2,20.3,9
C099,55,59100,0.7,95.84,35.2,60.8,76
C100,39,86800,9.8,168.03,60.5,9.7,9
C101,31,56700,10.6,110.08,84.0,14.8,5
C102,42,95200,9.2,167.47,44.1,21.6,17
C103,53,91500,10.8,152.13,61.1,4.6,7
C104,46,88100,9.7,133.92,61.7,8.2,13
C105,54,46800,1.7,76.66,42.2,48.0,41
C106,57,28100,1.6,52.04,39.1,38.3,65
C107,36,37600,6.2,89.62,37.2,86.3,44
C108,54,67800,1.6,47.03,11.5,59.5,124
C109,47,39800,5.0,87.29,47.4,85.4,17
C110,49,56500,9.4,56.15,46.1,74.3,27
C111,42,44700,4.3,65.01,49.9,95.4,26
C112,49,56500,0.9,62.96,11.2,44.9,80
C113,46,92300,11.4,184.94,63.8,12.8,13
C114,40,47100,5.9,45.06,18.6,66.0,35
C115,43,40500,6.1,55.01,59.0,68.6,29
C116,58,95500,1.0,84.68,33.3,58.9,92
C117,51,94500,10.8,137.86,37.4,24.7,1
C118,48,52400,2.7,24.48,15.8,73.4,98
C119,26,51700,8.3,97.22,93.9,49.7,1
C120,73,52700,0.9,83.33,43.8,50.2,61
