customer_id,age,annual_income,purchase_frequency,average_order_value,online_purchase_ratio,discount_usage_rate,days_since_last_purchase,preferred_category
D001,34,64000,5.9,199.49,62.4,14.2,25,Electronics
D002,37,72300,2.3,122.98,66.9,37.5,32,Electronics
D003,43,67800,2.8,126.01,37.8,44.1,43,Home_Living
D004,20,49200,5.6,62.9,48.8,82.4,25,Fashion
D005,40,64300,2.3,106.55,65.2,15.6,32,Home_Living
D006,34,54900,7.0,150.88,97.3,48.7,22,Electronics
D007,36,85400,11.8,175.16,100.0,15.5,19,Electronics
D008,27,54100,7.4,23.54,88.3,100.0,15,Fashion
D009,21,46700,11.8,78.14,69.2,59.6,18,Fashion
D010,18,64800,8.8,55.2,59.7,55.5,16,Fashion
D011,38,72300,8.5,124.34,73.4,85.3,7,Fashion
D012,28,77800,6.3,142.1,5.0,48.6,7,Home_Living
D013,26,73900,8.2,68.08,97.7,62.8,18,Fashion
D014,48,84800,4.5,169.19,59.6,28.7,19,Home_Living
D015,35,101600,7.1,153.59,81.0,45.5,9,Electronics
D016,28,67600,7.1,87.92,85.1,16.1,1,Electronics
D017,46,56600,3.4,170.8,78.0,18.3,7,Electronics
D018,43,68200,6.0,154.32,39.4,37.0,12,Home_Living
D019,36,36600,11.3,71.13,52.4,46.7,9,Fashion
D020,25,66100,5.9,110.81,90.7,37.7,38,Electronics
D021,29,66000,9.9,122.58,61.0,62.6,27,Fashion
D022,39,70000,5.7,168.57,44.3,14.4,33,Home_Living
D023,52,88200,4.7,140.58,50.8,26.0,29,Home_Living
D024,24,72400,8.7,169.28,75.1,11.6,16,Electronics
D025,36,100300,6.2,144.91,66.5,29.4,17,Electronics
D026,53,96900,3.4,113.6,26.2,35.2,36,Home_Living
D027,30,54800,6.9,68.71,83.4,55.2,6,Fashion
D028,43,104300,3.2,154.14,83.8,29.5,28,Electronics
D029,55,51800,6.2,103.04,66.3,43.6,18,Home_Living
D030,57,46900,4.3,155.49,41.8,29.3,9,Home_Living
D031,23,42500,11.9,63.31,82.2,31.4,17,Fashion
D032,45,69700,5.8,146.38,75.3,16.1,8,Electronics
D033,50,64900,6.9,152.6,62.4,52.7,23,Home_Living
D034,49,89700,3.7,130.58,18.3,87.4,23,Home_Living
D035,24,61500,7.3,53.08,65.3,28.5,9,Fashion
D036,23,64600,3.8,145.51,70.8,44.8,26,Electronics
D037,26,86500,6.6,100.24,52.2,52.6,19,Fashion
D038,22,75600,11.1,103.54,92.8,31.1,19,Fashion
D039,26,58600,6.0,78.57,50.4,37.9,11,Fashion
D040,43,59900,3.4,156.68,84.3,43.0,14,Electronics
D041,39,100800,2.9,84.21,36.7,63.4,35,Electronics
D042,24,66300,9.9,160.12,85.1,31.2,20,Electronics
D043,34,64600,1.8,101.55,13.0,22.9,1,Home_Living
D044,26,36800,10.1,72.69,72.8,34.5,3,Fashion
D045,41,80500,0.5,169.16,59.7,31.2,34,Home_Living
D046,58,58800,5.9,173.11,34.8,36.4,25,Home_Living
D047,27,57000,10.1,105.68,99.4,40.1,14,Fashion
D048,38,109500,6.2,152.25,70.3,26.0,13,Electronics
D049,62,67000,6.2,104.23,48.0,66.7,56,Home_Living
D050,27,70100,11.5,65.93,56.7,57.3,23,Fashion
D051,53,71300,5.1,133.82,24.7,36.2,2,Home_Living
D052,52,64800,3.6,108.06,41.8,64.1,23,Home_Living
D053,43,76200,8.8,145.01,94.2,47.2,8,Electronics
D054,52,63800,2.1,154.87,52.5,36.8,37,Home_Living
D055,40,81500,8.8,160.12,81.1,43.0,16,Electronics
D056,37,69100,10.8,86.78,77.0,42.9,8,Fashion
D057,42,55300,5.9,149.69,30.4,62.5,40,Home_Living
D058,30,46800,6.9,47.05,84.8,50.4,11,Fashion
D059,41,74900,5.5,141.05,27.3,56.2,18,Home_Living
D060,21,67600,7.2,149.2,70.9,15.2,5,Electronics
D061,44,80400,6.4,146.98,50.4,37.4,31,Home_Living
D062,37,49000,6.8,75.32,57.8,72.4,17,Fashion
D063,35,46100,12.1,120.04,88.9,90.2,7,Fashion
D064,19,78400,6.3,64.63,66.5,84.9,13,Fashion
D065,42,98300,6.2,124.06,64.5,34.7,43,Electronics
D066,42,89200,5.9,142.95,72.5,45.2,2,Home_Living
D067,32,106300,11.0,138.9,90.5,29.9,32,Electronics
D068,28,66500,5.9,120.58,100.0,100.0,16,Fashion
D069,30,55700,7.1,85.41,76.5,62.4,24,Fashion
D070,48,53600,6.6,156.72,45.0,40.6,10,Home_Living
D071,47,97000,7.1,142.91,100.0,18.5,13,Electronics
D072,39,72100,6.9,191.03,82.1,40.7,23,Electronics
D073,32,101300,6.1,134.33,84.3,26.8,21,Electronics
D074,23,69500,5.1,94.04,59.6,28.2,25,Fashion
D075,23,82000,11.4,99.16,75.3,32.2,15,Electronics
D076,39,69300,11.2,188.52,80.5,51.1,13,Electronics
D077,27,54800,7.4,93.74,91.6,68.0,26,Fashion
D078,43,79600,2.7,78.78,9.7,16.0,49,Home_Living
D079,29,58500,7.5,105.78,16.7,58.9,13,Fashion
D080,35,47800,9.6,188.37,88.0,9.9,11,Electronics
D081,18,55100,7.6,133.69,69.8,46.0,5,Fashion
D082,46,61200,4.6,84.06,39.9,59.7,57,Home_Living
