customer_id,tenure_months,monthly_charge,support_tickets,login_frequency,days_since_last_login,satisfaction_score,auto_payment,contract_type,churn
C0001,71,108.19,0,7.8,6.2,4,1,Monthly,0
C0002,18,115.62,0,25.5,15.7,3,0,Two_Year,0
C0003,12,87.47,1,1.2,13.2,3,1,Annual,1
C0004,53,73.44,1,18.1,14.1,3,1,Monthly,0
C0005,23,35.97,1,8.6,7.1,3,1,Two_Year,0
C0006,46,100.4,5,11.7,9.0,3,0,Monthly,1
C0007,34,84.36,2,15.0,7.2,3,1,Monthly,1
C0008,51,55.61,1,14.2,7.6,2,0,Monthly,1
C0009,42,91.77,0,10.2,15.5,5,0,Monthly,1
C0010,5,67.11,3,21.8,7.0,5,1,Monthly,0
C0011,43,98.55,1,11.2,16.4,4,0,Monthly,1
C0012,54,73.53,1,25.6,10.4,3,0,Monthly,0
C0013,2,87.82,2,13.8,18.3,3,1,Two_Year,1
C0014,38,72.57,0,15.7,26.3,3,1,Monthly,1
C0015,27,59.4,2,11.4,15.8,3,0,Two_Year,0
C0016,39,65.63,0,20.0,5.1,3,0,Monthly,0
C0017,15,79.03,1,9.0,4.4,2,0,Monthly,1
C0018,47,94.82,1,16.9,8.5,3,1,Monthly,1
C0019,64,83.92,0,8.9,27.6,3,1,Monthly,1
C0020,65,39.54,2,14.8,20.4,3,0,Annual,0
C0021,15,109.95,0,6.7,16.0,3,1,Monthly,1
C0022,46,87.74,2,19.9,8.3,3,0,Annual,0
C0023,49,53.38,1,6.0,30.7,4,0,Annual,1
C0024,47,54.47,0,13.2,2.0,4,1,Monthly,0
C0025,69,90.35,0,13.2,4.5,5,0,Monthly,0
C0026,32,49.7,0,14.5,15.6,1,1,Monthly,1
C0027,72,99.04,2,7.5,7.8,3,1,Annual,0
C0028,55,50.27,2,12.3,5.6,2,0,Annual,0
C0029,61,85.21,2,15.5,9.3,3,0,Monthly,0
C0030,53,72.09,4,8.7,25.9,3,1,Annual,1
C0031,28,64.74,1,12.9,6.0,3,1,Two_Year,0
C0032,35,80.77,1,16.4,11.7,2,1,Annual,0
C0033,32,46.29,3,20.5,7.4,5,1,Monthly,0
C0034,42,21.19,0,25.1,5.6,4,1,Two_Year,0
C0035,52,60.35,2,5.5,16.8,5,1,Monthly,0
C0036,58,100.93,0,15.6,31.9,4,0,Monthly,1
C0037,6,74.75,2,6.2,5.9,3,0,Monthly,1
C0038,6,80.07,5,10.9,32.8,3,0,Annual,1
C0039,34,40.56,0,20.0,8.1,3,1,Two_Year,0
C0040,22,84.08,1,13.4,20.4,4,1,Monthly,1
C0041,46,84.48,0,22.1,1.4,4,1,Annual,0
C0042,7,47.7,1,5.7,5.3,4,1,Annual,1
C0043,72,35.84,1,10.9,6.2,4,0,Monthly,0
C0044,52,110.88,1,15.3,7.5,3,0,Annual,1
C0045,71,52.09,2,6.5,1.3,2,0,Annual,0
C0046,13,76.15,1,15.9,33.1,5,1,Two_Year,0
C0047,23,100.92,0,12.5,10.4,3,1,Monthly,0
C0048,26,60.33,0,12.9,5.7,4,1,Monthly,0
C0049,18,56.19,2,17.6,13.5,5,1,Monthly,0
C0050,4,82.27,3,5.1,13.4,4,1,Annual,1
C0051,48,73.53,1,2.5,17.0,5,1,Two_Year,1
C0052,48,66.44,2,17.5,6.0,4,1,Annual,0
C0053,14,68.64,2,13.8,20.3,5,1,Two_Year,1
C0054,62,93.45,1,20.6,4.3,4,1,Monthly,0
C0055,19,60.43,2,20.7,11.4,3,1,Monthly,0
C0056,69,66.76,1,8.5,4.7,3,0,Two_Year,0
C0057,43,83.72,1,17.7,9.0,4,1,Monthly,0
C0058,37,64.63,1,25.3,10.0,5,1,Annual,0
C0059,14,112.13,1,8.7,10.2,3,0,Monthly,1
C0060,10,47.91,1,5.3,7.9,4,1,Monthly,0
C0061,30,92.77,1,15.8,21.1,2,0,Monthly,0
C0062,56,84.28,0,11.4,4.9,3,0,Two_Year,0
C0063,45,116.7,2,26.1,9.1,3,1,Monthly,0
C0064,45,33.84,2,9.7,7.0,4,1,Annual,0
C0065,31,77.51,4,7.8,22.6,2,0,Monthly,1
C0066,62,94.84,2,16.0,10.4,3,1,Two_Year,0
C0067,53,61.67,2,13.8,16.5,2,0,Monthly,1
C0068,16,74.36,2,16.0,11.8,3,0,Monthly,1
C0069,34,73.4,4,7.0,9.1,3,1,Monthly,1
C0070,1,95.75,2,18.2,9.5,2,1,Monthly,1
C0071,62,28.0,1,19.7,14.5,3,0,Two_Year,0
C0072,46,70.69,0,20.2,6.8,4,0,Annual,0
C0073,37,99.12,3,5.6,8.8,3,1,Annual,0
C0074,10,71.09,1,12.0,2.5,3,0,Monthly,1
C0075,23,20.84,2,6.2,9.0,2,1,Annual,0
C0076,42,61.57,3,9.3,13.6,4,0,Two_Year,0
