student_id,study_hours_week,attendance_rate,assignment_completion_rate,practice_sessions_week,math_score,science_score,writing_score,exam_score
S001,10.3,72.9,68.7,2.1,66.1,61.9,69.3,60.1
S002,11.4,75.2,90.1,4.2,59.8,59.6,69.8,62.4
S003,15.2,82.4,81.7,6.9,80.6,77.5,68.8,75.4
S004,19.3,82.7,94.0,9.5,90.0,89.5,78.3,89.0
S005,8.9,75.7,76.6,4.4,55.9,61.1,50.1,62.5
S006,2.0,71.6,66.0,1.0,48.4,46.7,58.9,50.0
S007,12.6,87.2,100.0,5.3,83.7,71.0,83.7,63.9
S008,10.2,79.7,72.0,3.6,63.3,65.5,66.8,61.7
S009,14.1,92.5,73.9,5.3,69.1,81.7,73.4,65.2
S010,14.5,92.6,83.9,3.5,61.6,78.8,81.0,74.3
S011,10.8,84.2,89.6,5.6,73.1,71.7,69.9,59.9
S012,8.3,64.1,74.0,3.9,62.0,70.3,56.2,57.8
S013,6.2,68.2,66.3,2.7,55.2,51.9,56.8,46.5
S014,10.1,76.0,75.4,2.8,60.5,61.7,75.1,61.3
S015,14.9,83.9,85.0,4.9,76.4,78.5,66.7,71.1
S016,5.1,66.0,67.0,4.9,56.9,52.0,66.5,49.5
S017,9.0,88.9,80.6,1.6,63.9,64.5,67.1,59.9
S018,16.6,85.5,85.8,7.2,89.2,83.1,79.4,80.5
S019,7.7,68.7,57.4,2.3,57.6,62.1,56.4,57.3
S020,8.7,64.9,64.0,2.0,58.9,55.7,57.4,54.0
S021,19.4,97.9,100.0,8.7,96.6,90.4,90.6,80.9
S022,9.0,76.5,77.6,2.7,59.5,72.0,68.9,64.3
S023,16.4,87.9,83.5,6.2,76.3,87.3,72.4,87.6
S024,15.9,78.9,89.3,7.7,77.3,72.2,76.0,64.9
S025,18.0,83.2,83.8,5.8,73.5,81.4,76.3,72.7
S026,6.9,77.2,65.5,6.2,71.0,77.0,64.6,65.7
S027,4.8,74.0,60.6,1.8,47.7,59.6,43.8,54.6
S028,11.1,95.8,83.2,6.3,77.0,67.1,64.2,73.9
S029,12.9,85.6,89.9,5.0,75.9,77.4,83.1,68.0
S030,13.1,88.7,65.8,5.6,64.8,63.5,66.9,66.3
S031,17.1,82.8,78.1,4.8,60.0,80.9,63.8,79.9
S032,7.6,83.0,86.0,4.2,61.4,55.3,61.8,56.3
S033,9.4,73.4,74.5,3.9,61.5,67.9,58.6,62.8
S034,10.4,84.2,89.2,6.2,72.3,76.8,77.5,71.0
S035,17.1,80.9,75.8,3.7,65.6,72.8,68.2,70.4
S036,9.6,87.3,81.7,6.8,79.6,75.8,82.8,73.0
S037,14.4,90.8,83.7,4.3,77.9,72.8,66.5,79.6
S038,8.6,82.4,83.1,3.6,63.3,63.3,65.8,61.9
S039,12.1,90.3,74.5,5.5,59.1,73.8,74.6,68.0
S040,20.4,100.0,90.8,8.6,72.8,94.8,95.8,86.3
S041,15.2,86.6,89.3,3.8,67.0,73.8,68.4,69.3
S042,8.6,72.4,74.5,3.8,60.0,71.6,71.0,64.5
S043,11.5,76.4,81.1,5.5,69.3,68.7,76.3,59.0
S044,3.3,77.2,63.1,1.0,50.6,46.1,61.7,55.2
S045,15.9,86.2,90.2,5.3,69.8,85.4,81.7,68.2
S046,9.1,81.6,89.2,5.1,64.7,73.2,83.0,73.6
S047,7.3,74.6,73.1,5.7,59.0,69.7,74.8,68.3
S048,4.3,69.6,74.9,5.2,64.4,63.0,68.7,62.2
S049,22.4,95.5,92.0,5.4,79.9,68.8,83.2,73.7
S050,12.2,80.6,73.5,5.6,68.6,79.9,78.0,70.4
S051,15.5,82.9,81.3,4.7,76.1,76.7,81.6,76.3
S052,12.8,89.7,74.3,4.9,73.9,65.2,78.4,75.0
S053,19.4,92.8,94.1,9.4,76.5,82.1,80.9,89.5
S054,17.5,92.9,91.0,7.3,86.2,87.5,90.7,83.5
S055,15.9,76.9,81.9,7.3,73.1,67.2,69.4,70.5
S056,11.1,81.6,76.2,3.7,73.0,73.9,75.9,68.1
S057,11.0,73.7,72.4,4.2,73.4,69.8,67.5,65.3
S058,8.3,87.5,82.9,3.9,58.8,62.5,61.1,67.4
S059,13.5,73.9,83.9,4.9,68.0,78.3,74.1,83.0
S060,15.4,80.8,87.5,4.9,65.5,67.5,70.3,63.5
S061,13.1,87.5,84.0,5.2,77.7,63.8,79.9,63.2
S062,14.6,83.3,75.4,5.2,78.0,77.8,70.2,64.0
S063,11.3,86.3,89.1,6.0,62.4,68.7,63.6,66.2
S064,13.3,85.2,92.4,3.5,66.4,75.5,75.2,72.2
S065,12.1,76.6,72.8,2.3,61.2,76.5,65.6,72.8
S066,20.8,94.1,95.0,7.8,82.1,78.3,88.8,79.2
S067,7.6,75.4,81.7,4.3,59.7,67.0,65.5,55.0
S068,10.7,84.3,69.6,6.3,65.9,59.7,72.4,62.5
S069,8.4,73.9,91.0,5.6,66.2,64.2,62.7,72.9
S070,12.7,83.2,88.8,4.6,79.6,68.5,80.0,79.2
S071,7.3,80.7,73.4,4.5,57.6,77.3,63.9,68.5
S072,9.2,84.7,67.9,6.9,67.1,72.8,68.4,67.7
S073,18.7,100.0,97.7,5.8,73.2,72.7,81.0,78.0
S074,12.4,84.5,83.0,3.6,70.9,76.6,73.5,69.7
S075,13.5,86.0,85.0,5.7,65.9,68.3,59.6,73.9
S076,15.9,88.5,87.4,7.2,89.3,93.8,71.6,81.6
S077,17.1,88.1,97.2,9.6,63.6,83.5,95.0,83.2
S078,6.7,74.0,71.6,2.5,54.1,71.6,61.3,62.8
S079,12.2,70.4,68.7,2.9,67.8,71.9,61.2,52.5
S080,16.8,87.9,88.1,8.7,82.1,87.6,72.5,76.1
S081,19.2,100.0,81.3,8.2,87.6,83.0,93.7,90.9
S082,8.8,84.6,75.4,4.7,65.0,64.0,61.9,63.3
S083,9.4,74.1,70.2,3.4,69.8,71.8,74.0,70.1
S084,14.3,81.9,65.2,5.9,70.1,69.8,61.8,69.7
S085,10.6,81.0,78.4,6.9,69.6,76.8,76.0,64.6
S086,11.8,92.9,90.9,7.2,72.4,74.3,80.0,65.2
S087,14.2,82.3,78.7,3.5,67.7,66.2,73.9,59.8
S088,18.9,100.0,98.7,7.4,84.0,90.5,92.8,81.8
S089,9.9,78.1,67.5,1.0,52.8,61.8,55.4,57.7
S090,12.2,77.7,79.9,4.0,53.1,69.8,81.7,65.6
S091,8.5,82.5,74.5,5.4,60.3,64.3,70.5,56.4
S092,16.5,78.2,83.4,5.8,79.6,69.2,71.1,76.0
S093,21.1,86.8,80.1,6.4,81.6,82.9,83.4,83.3
S094,9.8,82.1,77.9,2.8,65.2,67.4,60.9,66.6
S095,13.1,85.1,89.9,6.7,66.9,80.7,68.5,59.6
S096,19.1,85.5,82.2,5.1,82.0,89.4,82.1,72.2
S097,12.8,79.5,83.2,5.1,68.5,67.5,68.7,63.0
S098,10.0,86.2,74.6,1.6,76.3,65.2,65.2,71.1
S099,14.7,88.2,85.0,4.7,73.6,75.2,79.9,68.4
S100,12.5,82.8,91.8,5.6,76.2,65.8,61.7,76.0
S101,11.4,83.6,82.3,4.5,58.6,70.2,67.5,76.1
S102,9.7,72.5,76.7,3.5,64.8,58.4,70.2,54.6
S103,16.8,94.2,77.6,6.0,68.8,67.2,69.9,66.8
S104,18.8,92.7,98.3,8.0,80.5,87.2,78.5,71.5
