student_id,teaching_method,math_score,reading_score,problem_solving_score
S001,Traditional,67,75,63
S002,Traditional,73,68,55
S003,Traditional,70,72,66
S004,Traditional,70,77,76
S005,Traditional,66,70,72
S006,Traditional,77,73,73
S007,Traditional,67,67,63
S008,Traditional,72,72,76
S009,Traditional,71,77,69
S010,Traditional,66,70,68
S011,Traditional,63,60,56
S012,Traditional,69,78,75
S013,Traditional,75,72,65
S014,Traditional,64,68,68
S015,Traditional,72,75,72
S016,Traditional,67,69,71
S017,Traditional,66,69,65
S018,Traditional,70,71,59
S019,Traditional,74,75,68
S020,Traditional,61,69,58
S021,Traditional,78,82,75
S022,Traditional,63,69,68
S023,Traditional,69,77,68
S024,Traditional,77,73,63
S025,Traditional,73,76,75
S026,Traditional,67,70,63
S027,Traditional,66,71,64
S028,Traditional,75,75,70
S029,Traditional,76,76,76
S030,Traditional,68,72,70
S031,Traditional,69,68,64
S032,Traditional,78,73,61
S033,Traditional,76,83,71
S034,Traditional,70,81,71
S035,Traditional,74,70,72
S036,Traditional,74,75,65
S037,Traditional,67,73,57
S038,Traditional,75,68,64
S039,Traditional,70,74,66
S040,Traditional,68,67,74
S041,Traditional,74,78,74
S042,Traditional,61,64,65
S043,Traditional,67,65,56
S044,Traditional,80,74,70
S045,Traditional,73,65,63
S046,Traditional,71,79,75
S047,Traditional,55,55,70
S048,Traditional,77,83,64
S049,Traditional,77,76,70
S050,Traditional,69,71,73
S051,Blended,84,76,71
S052,Blended,72,85,78
S053,Blended,76,73,78
S054,Blended,85,84,77
S055,Blended,64,70,62
S056,Blended,77,81,83
S057,Blended,79,76,75
S058,Blended,79,72,71
S059,Blended,76,88,83
S060,Blended,74,77,74
S061,Blended,71,68,69
S062,Blended,65,74,72
S063,Blended,82,75,69
S064,Blended,67,63,74
S065,Blended,80,72,82
S066,Blended,81,79,82
S067,Blended,75,78,74
S068,Blended,67,71,69
S069,Blended,88,86,84
S070,Blended,84,85,77
S071,Blended,74,75,65
S072,Blended,75,83,76
S073,Blended,72,70,78
S074,Blended,79,82,78
S075,Blended,76,79,70
S076,Blended,65,75,85
S077,Blended,86,78,77
S078,Blended,74,83,80
S079,Blended,88,77,75
S080,Blended,80,79,71
S081,Blended,86,77,78
S082,Blended,84,76,90
S083,Blended,68,86,89
S084,Blended,81,85,79
S085,Blended,70,70,63
S086,Blended,73,71,73
S087,Blended,79,80,70
S088,Blended,79,76,77
S089,Blended,72,72,77
S090,Blended,74,75,74
S091,Blended,79,80,80
S092,Blended,63,63,71
S093,Blended,77,87,75
S094,Blended,80,70,75
S095,Blended,75,68,72
S096,Blended,78,79,78
S097,Blended,78,78,76
S098,Blended,82,66,79
S099,Blended,76,79,77
S100,Blended,79,84,70
S101,Project_Based,65,73,67
S102,Project_Based,79,75,82
S103,Project_Based,72,76,88
S104,Project_Based,63,65,78
S105,Project_Based,62,68,75
S106,Project_Based,78,76,82
S107,Project_Based,68,76,72
S108,Project_Based,70,76,87
S109,Project_Based,70,60,75
S110,Project_Based,78,78,76
S111,Project_Based,69,64,76
S112,Project_Based,83,78,86
S113,Project_Based,72,82,86
S114,Project_Based,73,79,69
S115,Project_Based,67,79,83
S116,Project_Based,82,90,89
S117,Project_Based,78,82,95
S118,Project_Based,68,75,75
S119,Project_Based,68,70,77
S120,Project_Based,75,76,76
S121,Project_Based,71,79,84
S122,Project_Based,74,86,86
S123,Project_Based,78,83,81
S124,Project_Based,65,75,77
S125,Project_Based,67,71,80
S126,Project_Based,71,59,68
S127,Project_Based,67,69,71
S128,Project_Based,75,70,68
S129,Project_Based,81,88,86
S130,Project_Based,76,69,79
S131,Project_Based,86,87,92
S132,Project_Based,70,72,82
S133,Project_Based,68,73,78
S134,Project_Based,77,81,84
S135,Project_Based,69,74,76
S136,Project_Based,72,80,82
S137,Project_Based,90,86,85
S138,Project_Based,83,92,90
S139,Project_Based,71,80,84
S140,Project_Based,63,73,75
S141,Project_Based,77,76,77
S142,Project_Based,83,85,84
S143,Project_Based,73,64,84
S144,Project_Based,72,78,75
S145,Project_Based,74,84,75
S146,Project_Based,81,78,81
S147,Project_Based,77,78,86
S148,Project_Based,67,77,81
S149,Project_Based,74,84,77
S150,Project_Based,73,76,87
