batch_id,temperature,pressure,flow_rate,mixing_speed,material_purity,viscosity,humidity,cycle_time,quality_score
B001,174.84,51.71,99.88,1206.62,91.1,66.3,43.33,33.39,75.3
B002,179.75,52.18,88.87,1101.25,93.91,67.39,46.32,38.33,75.16
B003,182.57,53.29,103.22,1271.51,93.48,68.07,41.65,33.59,83.56
B004,169.12,46.7,106.46,1226.28,96.53,77.9,40.54,35.1,82.81
B005,175.07,46.89,75.96,1031.24,92.03,64.3,48.83,40.74,71.25
B006,175.42,50.74,83.38,1107.86,86.62,59.37,47.65,35.9,71.13
B007,207.36,67.62,94.77,1280.3,94.13,60.18,43.95,36.09,81.24
B008,202.54,61.11,89.82,1186.68,90.12,59.16,43.63,35.67,72.97
B009,168.67,44.27,100.35,1174.68,96.4,76.04,42.6,37.43,80.32
B010,168.86,46.5,91.04,1130.88,93.7,75.42,44.28,37.69,79.11
B011,166.65,44.89,105.49,1205.0,90.13,73.25,41.89,32.95,76.05
B012,175.79,49.79,101.24,1233.74,92.57,72.51,42.49,34.2,82.06
B013,182.56,53.39,96.55,1231.36,98.3,74.39,44.21,39.17,81.68
B014,195.22,61.16,107.57,1337.0,98.94,75.52,42.13,36.8,85.91
B015,174.33,48.64,99.13,1232.09,91.0,73.31,42.66,33.12,78.2
B016,170.27,47.77,88.64,1143.5,92.0,72.19,47.46,37.69,73.31
B017,160.1,40.19,102.94,1188.88,95.11,81.02,43.37,35.81,77.98
B018,176.01,47.96,84.73,1122.79,89.73,64.82,46.9,36.17,72.92
B019,170.66,48.66,103.57,1306.72,93.89,72.76,40.23,32.59,82.2
B020,173.16,47.14,92.08,1177.99,91.78,72.45,48.15,33.91,76.44
B021,170.56,47.24,95.27,1145.48,92.75,74.73,43.78,36.13,77.39
B022,178.08,50.11,87.89,1144.92,89.21,64.4,44.98,34.88,74.38
B023,165.08,44.85,99.73,1274.87,85.7,64.31,40.87,28.94,73.6
B024,160.89,45.5,89.03,1138.88,83.71,62.76,44.95,31.27,70.75
B025,203.4,62.02,88.88,1194.03,87.24,53.86,42.84,33.42,72.3
B026,162.54,46.62,90.59,1182.32,89.82,73.32,47.15,35.39,77.6
B027,170.02,46.87,103.1,1227.03,89.93,73.13,42.13,33.13,76.82
B028,206.14,61.37,101.55,1264.17,98.93,67.03,40.83,37.73,82.02
B029,215.18,68.97,99.9,1328.09,96.53,60.91,44.82,37.47,79.97
B030,166.38,45.21,91.28,1207.3,87.2,69.98,43.75,32.38,76.08
B031,182.63,53.78,110.59,1378.48,93.24,68.91,34.87,29.98,84.84
B032,182.39,53.46,90.28,1183.21,90.38,64.42,48.5,34.58,74.12
B033,201.11,61.05,88.62,1171.28,91.31,59.21,46.83,34.92,74.21
B034,161.21,44.04,92.31,1109.14,92.64,72.92,46.59,38.86,73.51
B035,177.25,53.19,100.75,1287.57,92.86,69.42,44.89,33.59,80.22
B036,191.15,60.15,106.57,1330.36,89.68,62.32,40.67,30.43,79.6
B037,180.23,55.86,96.37,1193.09,95.75,70.87,44.31,37.1,81.63
B038,171.04,48.72,86.09,1104.84,88.93,63.76,45.5,35.34,71.04
B039,174.09,51.09,88.19,1114.24,90.03,67.79,47.69,36.6,71.98
B040,165.05,43.61,105.41,1219.1,101.4,86.51,42.78,37.35,82.85
B041,181.6,51.94,105.69,1253.38,93.85,70.13,41.65,34.28,79.01
B042,177.94,50.69,96.41,1260.55,96.88,77.03,40.84,35.27,81.64
B043,178.73,51.96,84.86,1111.24,92.82,66.96,46.36,35.9,75.69
B044,173.92,48.77,96.66,1224.25,93.4,72.79,43.13,36.09,77.83
B045,188.11,54.65,95.86,1214.7,91.69,65.73,41.23,34.97,76.86
B046,190.86,60.31,98.13,1252.54,89.94,59.71,40.65,33.6,75.89
B047,182.66,54.57,101.6,1259.77,87.16,64.12,42.23,29.97,77.22
B048,186.01,54.92,96.69,1255.49,94.35,68.57,38.6,34.51,82.21
B049,182.23,53.51,101.28,1287.34,88.13,63.56,42.2,31.61,78.48
B050,181.5,52.24,99.45,1225.28,93.92,72.77,42.92,36.87,80.15
B051,172.18,48.67,99.94,1177.69,94.55,73.74,45.43,35.21,79.93
B052,187.1,55.67,103.19,1281.31,92.01,65.45,41.09,33.79,79.9
B053,172.39,49.66,83.45,1074.52,90.84,67.42,49.85,39.13,72.75
B054,204.13,64.79,91.95,1191.45,92.93,60.84,44.31,34.76,76.6
B055,197.05,59.99,92.36,1196.51,91.26,59.63,45.71,36.62,72.42
B056,180.28,53.42,92.04,1159.44,95.68,70.25,47.37,37.43,78.12
B057,166.89,45.82,89.14,1167.28,85.88,63.27,44.05,32.92,68.13
B058,172.51,49.07,109.97,1310.28,91.04,72.73,41.01,30.44,80.62
B059,190.99,57.77,77.96,1157.68,86.45,53.41,44.98,34.91,69.79
B060,184.01,56.61,96.21,1323.19,85.81,58.95,41.43,30.19,75.88
B061,180.52,51.19,81.3,1085.07,96.72,69.5,51.05,40.13,78.44
B062,160.32,42.73,93.2,1068.9,96.15,81.48,46.26,36.83,76.09
B063,187.06,58.05,94.23,1231.48,90.62,62.06,46.93,33.43,75.49
B064,184.22,57.23,92.92,1260.83,85.46,59.41,40.75,30.65,74.95
B065,166.96,47.8,92.3,1201.21,81.34,56.85,39.24,28.35,70.64
B066,179.64,50.73,98.11,1261.5,91.32,68.42,39.67,32.49,78.69
B067,182.68,53.09,103.19,1200.18,100.93,80.21,46.3,40.58,83.52
B068,180.78,47.75,96.68,1137.97,93.7,72.28,46.38,36.86,78.89
B069,176.79,52.74,99.72,1276.64,89.85,65.2,41.44,30.17,80.81
B070,175.95,46.63,93.49,1161.88,93.28,70.45,42.59,35.96,78.76
B071,174.04,45.74,78.8,1065.45,86.8,62.45,49.46,36.25,70.32
B072,178.55,50.89,80.57,1131.37,90.73,65.91,45.42,36.8,72.54
B073,196.0,58.64,87.55,1143.19,92.31,60.2,49.03,38.25,74.48
B074,150.32,37.58,96.31,1189.82,91.77,79.74,47.55,34.19,74.51
B075,178.14,50.16,97.51,1169.47,94.16,73.89,44.2,36.05,81.85
B076,184.51,56.13,97.21,1303.8,93.69,69.06,42.84,31.2,84.24
B077,183.83,52.11,91.01,1181.0,96.96,70.34,44.48,36.31,78.57
B078,177.63,52.99,95.26,1201.32,87.99,65.84,40.23,34.89,72.92
B079,157.56,43.71,102.72,1223.9,95.43,82.61,40.91,34.34,79.79
B080,178.51,53.61,96.83,1152.16,97.02,73.32,43.02,37.05,83.19
B081,204.1,64.45,93.41,1307.94,89.12,54.5,39.93,33.06,75.87
B082,161.98,42.26,90.07,1095.6,88.93,70.48,49.22,35.35,71.55
B083,187.24,54.75,92.77,1184.84,97.36,72.11,45.65,39.17,81.17
B084,171.19,49.22,93.15,1147.6,92.39,66.28,45.9,35.97,76.68
B085,175.87,48.99,88.21,1079.23,97.09,73.33,47.27,41.1,80.02
B086,170.69,45.64,94.57,1231.4,91.47,67.47,42.13,33.17,78.63
B087,178.17,48.82,93.36,1154.51,94.98,76.83,47.24,39.35,81.92
B088,196.67,58.29,96.28,1246.66,93.89,61.13,43.9,37.01,77.65
B089,187.69,57.37,100.89,1257.66,93.24,66.09,43.42,34.87,80.87
B090,200.34,62.55,101.35,1293.76,98.45,69.02,42.22,35.15,81.53
B091,196.15,59.6,103.43,1280.94,89.64,59.93,41.25,32.88,76.66
B092,184.38,54.07,94.85,1246.71,87.96,61.67,41.78,34.59,77.23
B093,197.63,60.93,90.07,1174.14,90.56,57.46,41.79,36.38,74.07
B094,189.13,54.98,97.14,1229.02,93.57,69.29,43.78,35.65,79.76
B095,188.44,51.64,83.2,1096.2,86.77,57.16,49.5,37.99,67.42
B096,174.37,45.94,89.6,1045.3,95.21,71.48,46.32,40.88,74.41
B097,174.99,50.78,80.27,1127.21,88.53,64.75,48.17,39.85,71.92
B098,170.35,45.48,87.0,1112.72,96.89,78.44,47.29,39.14,79.54
B099,194.35,56.62,97.12,1280.14,83.63,52.17,38.84,29.4,72.61
B100,164.03,44.06,83.54,1089.61,89.06,67.27,45.25,35.95,69.07
B101,190.75,56.03,85.3,1181.18,84.77,57.03,45.94,32.8,70.44
B102,182.88,51.97,102.53,1307.98,89.56,63.1,40.54,29.25,82.24
B103,194.47,57.93,93.7,1205.03,90.69,66.09,43.06,34.21,75.7
